Job_Title,Years_of_Professional_Experience_Overall,Total_Compensation
"Operations Support Manager","31 - 40 years",73000
"Career Manager","11 - 20 years",128000
CPO,"11 - 20 years",400000
"Manager Talent Acquisition","11 - 20 years",84500
"Mortgage Insurance Underwriter","11 - 20 years",73000
"Human Resources/Business Office Manager","11 - 20 years",53100
"Grant writer","1 year or less",41500
"Human Resources Generalist","21 - 30 years",85490
"Sales Consultant","2 - 4 years",51500
"Plant HR Manager","11 - 20 years",90200
"Manager of communications and public relation","21 - 30 years",72000
"Talent Acquisition Strategist","21 - 30 years",62000
"Paediatric physical therapist","11 - 20 years",150000
"Software Support Specialist","8 - 10 years",63000
"EVP Product","11 - 20 years",600000
"UX consultant","11 - 20 years",135000
"Marketing and communications","11 - 20 years",36500
"Scientific Director","11 - 20 years",112000
"Director, Consumer Insights","11 - 20 years",172000
"Management Analyst - Grant Development","8 - 10 years",77766
"Business Development Officer","2 - 4 years",50000
"VP of HR","11 - 20 years",137000
"Computer Scientist","5-7 years",116000
Chef,"1 year or less",50000
"High School Math Teacher","8 - 10 years",47400
"VP, Operations","11 - 20 years",145000
"Administrative Manager","21 - 30 years",117000
HRIS,"8 - 10 years",52000
"Payroll and Benefit Coordinator","21 - 30 years",42827
"VP, HR","21 - 30 years",168000
"Retail Operations Assistant Manager","21 - 30 years",37000
"Sr. Director of Research and Finance","11 - 20 years",160000
"Journeyman Electrician","5-7 years",66000
"Account Director","8 - 10 years",131000
"High School English Teacher","8 - 10 years",84500
"Senior Website Strategist","5-7 years",118800
"Mac Engineer","11 - 20 years",64000
"Payroll & Benefits Analyst","8 - 10 years",85660
"Senior manager digital transformation","11 - 20 years",140000
"Technical Artist","8 - 10 years",55000
"Recruiter II","21 - 30 years",100000
"Senior Customer Engineer","11 - 20 years",215000
"Help desk Manager","11 - 20 years",25500
"Senior Director, Product Management","11 - 20 years",200000
"Employee Relations Advisor","5-7 years",59000
Manger,"8 - 10 years",190000
"3D Character Artist","2 - 4 years",21000
"Club manager","11 - 20 years",93000
"Data Quality Lead","2 - 4 years",124000
"HR Senior Manager","11 - 20 years",118000
"Director of Finance & Administration","11 - 20 years",117500
"Strategy Analyst","1 year or less",152000
"Financial and accounting analyst","5-7 years",86000
"VR Engineer","11 - 20 years",55000
Product,"5-7 years",127000
"Human director","11 - 20 years",83000
"Global Human Resources Manager","11 - 20 years",117000
"Senior UX Engineer","11 - 20 years",49500
"Administrative associate","5-7 years",86500
"Claims adjuster","11 - 20 years",62158
"SOC Analyst","2 - 4 years",60000
"Physician Recruiter","21 - 30 years",80000
"Internal Communications Manager","11 - 20 years",110000
"Administrative Manager","8 - 10 years",55000
"Manager of Partnership Programs","11 - 20 years",82000
"Electronic Resources Librarian","11 - 20 years",49000
"HR Specialist","31 - 40 years",104000
"Senior Cloud Engineer","5-7 years",140000
"Photo editor","21 - 30 years",67500
"Paid Media Lead","11 - 20 years",105000
"Payroll Supervisor","11 - 20 years",90000
"Senior physical scientist","8 - 10 years",120000
"Solutions Architect","21 - 30 years",159000
"Payroll Senior","8 - 10 years",28000
"Director of distance learning","11 - 20 years",72000
"Senior Vice President, Human Resources","11 - 20 years",118000
"Senior Manager of Software Engineering","8 - 10 years",215000
"Country Support Manager","8 - 10 years",82583
"Managing Consultant","8 - 10 years",150000
"Visual Designer","2 - 4 years",63000
"Director of Education and Public Engagement","8 - 10 years",50000
"Institutional Giving Officer","11 - 20 years",68000
"Technical Expert","11 - 20 years",50000
"Software Engineer in Test","11 - 20 years",110000
"Principle SRE","21 - 30 years",150000
"Engineering Manager","2 - 4 years",195000
"Chief Talent Officer","11 - 20 years",182000
"Intake officer","8 - 10 years",210000
Technician,"2 - 4 years",153500
"Manager, Developer Evangelism","21 - 30 years",290000
"HRIS Analyst Associate","2 - 4 years",50000
"Legal Executive","11 - 20 years",33000
"Investment specialist","2 - 4 years",45700
"Assistant to the Director","5-7 years",76000
"Superior Auxiliar","8 - 10 years",780000
"In-House Counsel","5-7 years",245000
"People Services Manager","1 year or less",55000
"Information Security Engineer","21 - 30 years",111000
"Care Worker","5-7 years",28000
Worker,"2 - 4 years",24000
"Manager, Access Services","11 - 20 years",53000
"HR Generalist II","21 - 30 years",77000
"Senior Sales Engineer","11 - 20 years",412000
"Education Program Specialist","8 - 10 years",141137
"HR and Benefits Manager","11 - 20 years",82500
"Sales Engineering Manager","11 - 20 years",396500
"character artist","11 - 20 years",127000
"Benefits & Compensation Manager","11 - 20 years",83000
"Music Librarian","21 - 30 years",12000
"Senior Operations Engineer","5-7 years",164000
"Executive Legal Secretary","5-7 years",60000
"Senior Underwriter","8 - 10 years",130000
"HRIS Consultant","5-7 years",120000
"Asst Vice President/ loan officer","11 - 20 years",71500
"Librarian Department Head","11 - 20 years",85000
"Software Consultant & Engineering Manager","8 - 10 years",124000
Bartender,"11 - 20 years",70000
"Digital Marketing Specialist","1 year or less",48000
"Senior Support Specialist","8 - 10 years",56000
"Web & Content Specialist","2 - 4 years",25000
"Senior Information Librarian","11 - 20 years",35000
"Strategic Projects Manager","2 - 4 years",26700
"Records and Information Coordinator","8 - 10 years",89144
"Health and Safety Advisor","11 - 20 years",165000
"Senior Financial Operations Analyst","8 - 10 years",94600
"Philanthropy Operations Manager","11 - 20 years",80900
"IT analyst/developer","11 - 20 years",93224
"Information Security Engineer 1","5-7 years",75000
"Customer Success Coordinator","2 - 4 years",60000
"Operations Analyst","8 - 10 years",236470
"Financial Data Specialist","8 - 10 years",57500
"Marketing Automation Manager","8 - 10 years",676000
"Doctoral college training coordinator","5-7 years",29176
"Sr Manager Institutional Giving","11 - 20 years",75000
"Director congregational engagement and support","21 - 30 years",130000
"Cyber Security Analyst","2 - 4 years",35000
"Senior Procurement Advisor","5-7 years",128000
"Strategic Investment Planner","11 - 20 years",109000
"Graphics Programmer","5-7 years",62000
"Senior Director, Web and Digital","11 - 20 years",480000
"Software QA Analyst","5-7 years",107000
"Environmental health scientist","5-7 years",72000
"All Purpose Food Clerk","11 - 20 years",40000
AGM,"11 - 20 years",130000
"Transportation Engineer II","2 - 4 years",80500
"Construction Administration","5-7 years",64000
"Human Resource Manager","5-7 years",120237
SWE,"2 - 4 years",250000
"Director Human Resources","31 - 40 years",118800
"For of HR","21 - 30 years",97000
"International Partner Marketing Manager","2 - 4 years",88000
"Team manger, user services","8 - 10 years",100000
"Employee Development and Training Coordinator","31 - 40 years",91000
"New Agent Development Coordinator","5-7 years",41600
"Professional Horse Trainer","5-7 years",41600
"E-commerce Specialist","5-7 years",58500
"Talent Acquisition Supervisor","8 - 10 years",81100
"Application Engineer Lead","31 - 40 years",110000
"Research Assistant Professor","11 - 20 years",75000
"Talent Acquisition Partner","2 - 4 years",131700
"Lead Copywriter","11 - 20 years",67000
"Business Owner","11 - 20 years",186000
"Informatics Epidemiologist","21 - 30 years",99500
"Assistant Director of Institutional Research","11 - 20 years",109000
"Administrative Assistant 3","11 - 20 years",101840
"Statistician II","8 - 10 years",92000
Pastor,"8 - 10 years",50000
"Vice President of Sales and Marketing","21 - 30 years",104000
"Safety, Health, & Environmental Manager","5-7 years",115000
"Senior Data architect","11 - 20 years",158000
"Director of Revenue Management","11 - 20 years",132000
"Software Licensing Rep","8 - 10 years",73000
"VP of Operations","11 - 20 years",208000
"Sr. Human Resources Generalist","8 - 10 years",96000
"Strategic Planner","11 - 20 years",128000
"Assoc. HR Manager","8 - 10 years",113500
"Senior application programmer","31 - 40 years",98500
"Senior Brand manager","5-7 years",454000
"Analyst II","2 - 4 years",78000
"Information Security Architect","11 - 20 years",412000
"Sr Financial Planner","5-7 years",106000
"Pen Tester","2 - 4 years",50000
"Senior Deputy City Attorney","11 - 20 years",125000
"Senior Security Consultant","8 - 10 years",175000
"Senior Credit Officer","8 - 10 years",131000
"Digital Scholarship Specialist","21 - 30 years",94929
"Financial Planner","5-7 years",103000
"UX lead","11 - 20 years",345000
"Digital Library Cataloguer","2 - 4 years",40000
"Assistant VP/Claims Manager","11 - 20 years",114000
"Associate Manager, Marketing","8 - 10 years",93600
"VP of Human Resources","21 - 30 years",178000
"Manager, Gift Processing and Data Management","5-7 years",60000
"network engineer","2 - 4 years",105000
"Data and Reporting Analyst","2 - 4 years",70000
"Lead Advocate","31 - 40 years",50830
"Threat Hunter","11 - 20 years",93000
"Accounting Specialist/Human Resource Coordinator","11 - 20 years",46000
"Inside Sales Account Manager","11 - 20 years",85000
"Homeless Outreach Worker","2 - 4 years",39500
"Academic Support Specialist","11 - 20 years",62400
"Tech Staff 4 - Architect","21 - 30 years",199000
"Sr Payroll Specialist","11 - 20 years",75000
"senior mobile developer","31 - 40 years",127200
"Internet Marketing Manager","21 - 30 years",106700
"Senior Director of Digital Marketing","11 - 20 years",155000
"Support Worker","1 year or less",18000
Carpenter,"1 year or less",24000
"Humanities graduate student","2 - 4 years",34000
"R&D Engineer","2 - 4 years",206000
"EAP tutor","5-7 years",27495
"Processing Coordinator","5-7 years",39000
"Software Senior Engineer","11 - 20 years",148500
"Senior Strategist","11 - 20 years",109000
"Landscape project manager","11 - 20 years",59000
"Associate creative director","5-7 years",239000
"Commercial Counsel","21 - 30 years",174570
"Associate Product Manager","5-7 years",57500
"Senior Copywriter","8 - 10 years",312000
"Senior Software Engineer, Devops","5-7 years",230000
"HR Administrator/Generalist","11 - 20 years",40000
"Production Engineer","11 - 20 years",395000
"Human Resources Representative","8 - 10 years",43829
"Associate Professor of Instruction","11 - 20 years",81200
"Engineering Manager, DevOps","11 - 20 years",185000
"Web Developer","2 - 4 years",192000
"PA to the Directors","8 - 10 years",22500
"Teaching practicum supervisor","11 - 20 years",1000
"Clinical Operations Associate Director","8 - 10 years",135760
"Director of DevOps Engineering","11 - 20 years",174000
"Robotics Software Engineer","2 - 4 years",115000
"Finance Specialist","21 - 30 years",60000
"Manager Software Development","21 - 30 years",210000
"Data Analyst","41 years or more",50000
"Associate Director of Alumni Relations","11 - 20 years",90000
"Social media specialist","8 - 10 years",39800
"Energy General Manager","11 - 20 years",66560
"HR Senior Specialist","11 - 20 years",56028
"Senior Director of Education","21 - 30 years",280000
"Senior QA Engineer","11 - 20 years",86500
"Product Copy Manager, Marketing","11 - 20 years",138000
"Knowledge and Innovation Manager","11 - 20 years",92000
"Video maker","5-7 years",42600
Waitress,"8 - 10 years",18553
"Associate Director, Arts Library","11 - 20 years",86000
"Senior Manager, Learning and Development","8 - 10 years",85000
"Quality control regional manager Americas","8 - 10 years",145000
"Level 2 Sys Admin","5-7 years",61000
"Career Advisor","2 - 4 years",38500
"Software Team Lead","21 - 30 years",340000
"Senior Front End Web Developer","21 - 30 years",110000
"Pricing associate","1 year or less",57500
"Director of Finance and Operations","8 - 10 years",56000
"Human Resources Compliance Advisor","8 - 10 years",80000
"Digital PR & Content Executive","5-7 years",28000
"Senior digital forensic practitioner","11 - 20 years",28000
"Audio Editor","8 - 10 years",97000
"Medical Technologist","5-7 years",70850
"Professional Development Manager","11 - 20 years",57750
"Sustainability Manager","5-7 years",95200
"Senior Frontend Developer","11 - 20 years",140000
"Regional HR Manager","21 - 30 years",185000
"Senior Engineering Technician","11 - 20 years",138000
"Business Development Manager","1 year or less",56450
"Corporate hr manager","11 - 20 years",104500
"Direct Support Professional","5-7 years",28080
"Research Methodology Consultant","11 - 20 years",124719
"Patient Services Coordinator II","5-7 years",44325
"Executive underwriter","11 - 20 years",163384
"VP of Human Resources","11 - 20 years",151000
"College Success","5-7 years",60000
"Marketing and Communications Associate","11 - 20 years",100000
"Control systems safety engineer","11 - 20 years",46000
"Director, External Communications","11 - 20 years",184000
"Assistant Director, Benefits","21 - 30 years",66310
"Executive Assistant to the CEO","21 - 30 years",57000
"IT Systems Analyst","21 - 30 years",156000
"Academic Services Coord","21 - 30 years",42700
"Campaign and Program Manager","5-7 years",70680
"Product Owner / Project Manager","11 - 20 years",115000
"Scientist II","21 - 30 years",188800
"Conservation program assistant","2 - 4 years",35000
"Senior Web Engineer","11 - 20 years",80780
"Lead Product Writer","8 - 10 years",125000
"Client Engagement Manager","5-7 years",57000
"Sr. SDE","11 - 20 years",342000
"Director, Channel Marketing","11 - 20 years",185000
"Comp, Benefits and HRIS Manager","11 - 20 years",114400
"SVP, Software Engineering","11 - 20 years",350000
"Administrative Law Judge","21 - 30 years",109500
"Secretary 1","31 - 40 years",70110
"Housing Grant Consultant","2 - 4 years",70000
"Assistant Professor of Paediatrics","8 - 10 years",162700
"ECommerce Coordinator","8 - 10 years",48000
"Sr Inventory Accountant","8 - 10 years",83500
"User Operations Senior Associate","11 - 20 years",48000
"Principal Research Analyst","5-7 years",48600
"Associate Director, Social Media","21 - 30 years",135000
"Field Service Specialist","2 - 4 years",71000
"Contracts negotiator","5-7 years",73100
"Configuration Analyst Lead","11 - 20 years",80000
"Account Operations Professional","11 - 20 years",57300
"Technical Account Manager","1 year or less",150000
"VP Strategy and Business Development","8 - 10 years",230000
"Global Program Senior Manager","11 - 20 years",228000
"Director of Front office","11 - 20 years",800000
"Global People Operations Specialist","2 - 4 years",47736
"Sr. Director","11 - 20 years",613000
SDE,"21 - 30 years",190000
"SVP Advocacy & Policy","11 - 20 years",230000
"Working Student","5-7 years",35400
"Assistant Shift Manager","11 - 20 years",37440
"Technical Recruiting Manager","8 - 10 years",400000
"Communications & Marketing Manager","5-7 years",75000
"Exec chef","21 - 30 years",125000
"Import coordinator and business analyst","5-7 years",63000
"Freelance Consultant","31 - 40 years",13500
"Graphic Design","31 - 40 years",300000
"Admin/Marketing Coordinator","11 - 20 years",55000
"Sales Coordinator","8 - 10 years",65000
"Systems Manager","21 - 30 years",102500
"Renewals Manager","11 - 20 years",150000
"People Team Manager","21 - 30 years",115000
IT-Consultant,"8 - 10 years",75000
"Utilization Management","8 - 10 years",70000
"Squad Leader","8 - 10 years",90000
Journalist,"2 - 4 years",32000
"Program Counsel","11 - 20 years",109000
"Strategic Operations Manager","8 - 10 years",86000
"Senior Drupal Developer","8 - 10 years",51700
"eBook Coder","8 - 10 years",39520
"Gameplay Programmer","2 - 4 years",47000
"Tax Senior Manager","8 - 10 years",140000
"Quality Technician 2","2 - 4 years",57835
"Human Resources","11 - 20 years",40000
"WordPress Developer","11 - 20 years",31000
"HR Program Manager","21 - 30 years",103000
"Events Coordinator","21 - 30 years",57500
"Principal Design Researcher","11 - 20 years",291000
"Chief of Communications","21 - 30 years",111000
"Online marketing manager","2 - 4 years",39000
"Sr.  Systems Engineer","21 - 30 years",138000
"Senior Director of People Operations","21 - 30 years",184000
"Economic Development Planner","5-7 years",64000
"Employee Development Programs Manager","11 - 20 years",81000
"Senior Government Relations Coordinator","2 - 4 years",67500
"RnD Manager","11 - 20 years",72120
"IT Architect","21 - 30 years",227000
"Merchant Specialist","11 - 20 years",34000
"Venue Sales Manager","5-7 years",36000
"Library Assistant 3","11 - 20 years",48184
"Director, Sales","11 - 20 years",238000
"Lead Elementary Computer Science Teacher/Mentor","11 - 20 years",60000
"Graduate software developer","2 - 4 years",26000
"Client Development Manager","5-7 years",57000
"Lead Front End Engineer","21 - 30 years",162000
"System Engineer","8 - 10 years",42000
"Museum Guide - Team Supervisor","8 - 10 years",31000
"Sr Systems Engineer","11 - 20 years",160000
"Lead Account Strategist","2 - 4 years",83000
"Senior Information Access officer","11 - 20 years",43243
"Web Engineer","11 - 20 years",188000
"Air Traffic Controller","21 - 30 years",215000
"Employee Relations","21 - 30 years",78000
"Research Project Manager","8 - 10 years",80000
"Computer architect","21 - 30 years",180000
Winemaker,"11 - 20 years",109200
"Senior Research Associate","8 - 10 years",120302
"Accessibility Engineer","2 - 4 years",182000
"Senior associate, annual giving","5-7 years",72800
"Medical Insurance Telesales","21 - 30 years",70000
"Linguist III","5-7 years",217000
"Compliance Lead","21 - 30 years",95000
"eLearning Content Developer","8 - 10 years",50000
"Laboratory & Research Assistant","1 year or less",46000
"Regional Supply Chain Director","11 - 20 years",327000
"Research Assistant, Sr","8 - 10 years",51362
"Representative, HR/LR","11 - 20 years",70705
"Senior Editor, Mathematics","11 - 20 years",91000
"Assistant Learning Center Coordinator","8 - 10 years",36400
"Etl developer","5-7 years",93000
"HR Operations Specialist","11 - 20 years",114500
"Associate Production Manager","8 - 10 years",52000
"Software Developer 3","2 - 4 years",165000
"Principal project manager","21 - 30 years",128126
"Research and Instruction Librarian","11 - 20 years",57770
"Associate Director, DEI","11 - 20 years",75000
"HR manager","31 - 40 years",343500
"Senior Channel Manager","5-7 years",141450
"Reference Librarian","2 - 4 years",43200
"Sr IT Project Manager","21 - 30 years",141000
"commercial paralegal","2 - 4 years",70000
"Director, Maternal, Child, and Adolescent Health","11 - 20 years",104000
"Studio Director","11 - 20 years",55000
"Sr. Graphic Designer","8 - 10 years",63900
"Development and Operations Director","11 - 20 years",97000
"Senior Associate Actuary","5-7 years",142500
"Senior I development engineer","5-7 years",89600
"Director of User Research","21 - 30 years",193550
"Manufacturing Quality Supervisor","5-7 years",78000
"Corporate Banker","5-7 years",215000
"Order Services Supervisor","11 - 20 years",72000
"Academic Communications","11 - 20 years",72000
"Associate Director of Culture and Entertainment","11 - 20 years",110000
"Office & Building Manager","8 - 10 years",82500
"Customer Experience Operations Manager","11 - 20 years",119000
"Development Database Associate","5-7 years",41200
"Recruiting coordinator","2 - 4 years",163147
"Project Management Director","21 - 30 years",157000
"Senior Director of Annual Giving and Alumni Engagement","11 - 20 years",123000
"Medical Technologist","11 - 20 years",132000
"Director of Debt Capital Markets","11 - 20 years",270000
"Associate Director, Talent Acquisition","11 - 20 years",128800
"Medical Coder/Auditor","5-7 years",59000
"Sr Credit Analyst","5-7 years",61178
"IT Support Tech II","2 - 4 years",61260
"Transportation Planner","8 - 10 years",82500
"VP of Product","11 - 20 years",204000
"Assistant Bookkeeper","11 - 20 years",36150
"Title Support Team Supervisor","8 - 10 years",70000
"Learning and Development Manager","11 - 20 years",342000
"Associate Editor","11 - 20 years",51500
"Formulary Operations Team Lead","21 - 30 years",54500
"Public Relations Lead","5-7 years",76000
"Mobile expert","8 - 10 years",24400
"Digital Programming Coordinator","11 - 20 years",41000
"Reinsurance Manager","8 - 10 years",85500
"Senior Clinical Research Coordinator","8 - 10 years",54000
"Licensed Clinical Social Worker","5-7 years",60236
"Mechanical Project Engineer","11 - 20 years",116600
"Senior Digital Product Manager","8 - 10 years",90000
"Museum educator","11 - 20 years",32100
"Junior Designer","2 - 4 years",58500
"Senior Administration Officer","2 - 4 years",28750
"Human Resource Associate","2 - 4 years",33000
"Policy Coordinator","5-7 years",60250
"Paralegal (Intern)","5-7 years",37500
"Social Media Coordinator","5-7 years",47000
"Database Manager","21 - 30 years",78000
"Account Management Director","21 - 30 years",165000
"Technical Director / CTO","11 - 20 years",50000
Neurodiagnostic,"5-7 years",71000
"Marketing Communications Manager","8 - 10 years",49000
"Data Officer","5-7 years",26500
"Paralegal, Trusts & Estates","11 - 20 years",150000
"Lending Operations Specialist","2 - 4 years",71760
"Brand Communications Manager","11 - 20 years",118000
"Theatrical Assistant Ticket Office Coordinator","11 - 20 years",37514
"Director, Advertising Compliance and Forms Design","8 - 10 years",86000
"Bank Teller","1 year or less",32000
"Senior Integration and Test Engineer","11 - 20 years",95000
"Transformation manager","8 - 10 years",60500
"Hospital Pharmacy Director","5-7 years",139000
"University Relations Recruiter","8 - 10 years",68000
"R&D Engineer","11 - 20 years",46250
"Senior design engineer","21 - 30 years",61000
"Marketing Strategy Manager","11 - 20 years",650000
"Lead Data Strategist","8 - 10 years",111000
"Senior Scientist II","2 - 4 years",132000
"Finance Director","41 years or more",63800
"Transport Consultant","2 - 4 years",30000
"Document Control","8 - 10 years",38000
"Senior Frontend Developer","21 - 30 years",127500
"Senior Social Insights Manager","5-7 years",99000
"Lead Customer Support/Success Manager","11 - 20 years",90000
"Security Consultant","8 - 10 years",72000
"Influencer Program Manager","11 - 20 years",150000
Tech,"8 - 10 years",250000
"Senior Back-End Software Engineer","8 - 10 years",228800
"Director UX Design","21 - 30 years",193000
"Content Manager/Copy Editor","11 - 20 years",72800
"Special Education Paraprofessional","5-7 years",19000
"Technical Services","2 - 4 years",84000
"Multimedia Associate","2 - 4 years",53000
"Senior staff engineer","21 - 30 years",223500
"Director of Presales Engineering","11 - 20 years",350000
"Exhibit Manager","21 - 30 years",80000
"Fuel hauler (CDL)","21 - 30 years",156000
"Project Manager, information technology","21 - 30 years",83000
"Associate Research Scientist","1 year or less",112500
"associate copy editor","21 - 30 years",36000
"Digital Product Manager","21 - 30 years",163000
"Consultant - Applied Intelligence","2 - 4 years",101000
"Report Analyst","21 - 30 years",90500
"Communications & Marketing Manager","21 - 30 years",108000
"Mechanical Engineer 2","2 - 4 years",108500
"Senior Embedded Engineer","5-7 years",135000
"Job title","8 - 10 years",80000
"Exec assistant","31 - 40 years",88000
"UX/UI Designer","8 - 10 years",201100
"Program Monitor","5-7 years",61000
Server/waitress,"8 - 10 years",31200
"senior credit analyst","2 - 4 years",80000
"Community Outreach Specialist","2 - 4 years",50400
"Clinical therapist","8 - 10 years",120000
"Junior Mechanical Design Engineer","1 year or less",105000
"Medical office assistant","2 - 4 years",37500
"Food stand attendant","2 - 4 years",29000
"Human Resources Specialist","31 - 40 years",59750
"Communications & Fundraising Officer","8 - 10 years",25000
"Practice Support Associate","21 - 30 years",75500
"Research assistant II","5-7 years",37600
"Senior Communications Associate","5-7 years",64530
"Solution Consultant","8 - 10 years",225500
"Product Engineer, Robotics and Sensors","2 - 4 years",100000
"Assistant Media Buyer","5-7 years",54553
"Performance Marketing Manager","2 - 4 years",88000
"Game Producer","2 - 4 years",40800
"Facilities Mechanical Engineer","8 - 10 years",128306
"Audio Visual Engineer","2 - 4 years",23000
"Investment Supervisor (Media)","11 - 20 years",88550
"Legislative Aide","2 - 4 years",42000
"Auto Liability Claims Adjuster","5-7 years",75000
"Software Developer II","8 - 10 years",94000
"IT Specialist (Quality Assurance)","11 - 20 years",101000
"Validation Analyst","2 - 4 years",57000
"Mechanical Engineer","1 year or less",86000
"Clinical educator","11 - 20 years",105000
"Creative technologist","11 - 20 years",445000
"HR Specialist II","8 - 10 years",36400
"Schedule Planner","5-7 years",50386
"DSP Engineer","1 year or less",155000
"Associate General Counsel","1 year or less",100000
"Sr. SEO Strategist","21 - 30 years",74900
"Design Analysis Engineer","5-7 years",133000
"PR and Communications Intern","1 year or less",30000
"Reports & Analytics Manager","8 - 10 years",82500
"defence Contractor","11 - 20 years",86000
"Director of Program Management","21 - 30 years",190555
"Park Ranger","11 - 20 years",27460
"Communication Designer","5-7 years",74000
"Executive Recruiter","8 - 10 years",136000
Adjuster,"2 - 4 years",54000
Outsourcing,"21 - 30 years",68500
"Director of process improvement","8 - 10 years",130000
"Curator of Education & Public Programs","21 - 30 years",73250
"Constituency Assistant","21 - 30 years",60000
"CTE Marketing Teacher","8 - 10 years",58500
Trainer,"21 - 30 years",133000
"Procurement Coordinator","5-7 years",55775
"Restaurant Accountant","8 - 10 years",54000
"Special Assistant","5-7 years",54110
"TV commercial assistant editor","8 - 10 years",89000
Founder,"21 - 30 years",0
"HR Analyst","2 - 4 years",62000
"Legal Counsel","5-7 years",93500
"Social media producer","1 year or less",32864
"Senior Production Editor","11 - 20 years",77000
"Fiscal Systems Specialist I","11 - 20 years",140000
"Lab Safety Specialist","2 - 4 years",40000
"Senior Embedded Systems Engineer","2 - 4 years",198000
"Manager of Governance and Assistant to the President","11 - 20 years",54000
"Product & Implementation Manager","11 - 20 years",129062
"Resident Director","2 - 4 years",45100
"Consultant - Assistant Manager","5-7 years",69000
"Associate Software Developer","1 year or less",111000
"Senior Health Data Analyst","21 - 30 years",105500
"Sr. Product Marketing Manager","11 - 20 years",194000
"Constituency Assistant","2 - 4 years",54988
"Senior Application Developer","21 - 30 years",74000
"Email/Marketing Automation Technologist","8 - 10 years",95000
"Surveillance Data Manager","2 - 4 years",50500
"Early Head Start Co-Lead Teacher","2 - 4 years",40000
"Assistant City Planner","2 - 4 years",59613
"Cost Accountant","21 - 30 years",84500
"Drug policy clinical coordinator","2 - 4 years",123000
"Associate Director of Resource Development","11 - 20 years",72500
"Digital Strategy Director","11 - 20 years",140000
"Operations and Program Manager","2 - 4 years",47000
"Director of Business Development","21 - 30 years",200000
"Director, operational performance","8 - 10 years",132000
"Coordinator of Research Administration","11 - 20 years",63310
"Social Media and Content Marketing Manager","8 - 10 years",55000
"Project Assistant","5-7 years",54400
"Requirements Analyst","21 - 30 years",80000
"Process Control Manager","5-7 years",175000
"Event Marketing Manager","5-7 years",97900
"HR BP","8 - 10 years",60000
"Library Associate III","5-7 years",32000
"Talent Advisor","2 - 4 years",50000
"Alumni Relations Officer","11 - 20 years",60380
"Summer Associate","1 year or less",187000
"Game Designer","5-7 years",74525
"Salesforce Developer","11 - 20 years",136000
"Senior Product Specialist","5-7 years",117000
"Senior Commercial Counsel","11 - 20 years",195000
"Learning Manager","11 - 20 years",69000
"Customer Education Project Manager","11 - 20 years",100000
"Product designer III","8 - 10 years",55000
"Vice Chancellor and General Counsel","11 - 20 years",145000
"News videographer","11 - 20 years",65000
"Environmental Planner","5-7 years",137500
"VP-Marketing Director","21 - 30 years",75000
"Business Office Coordinator","2 - 4 years",41000
"Associate Brand Director","8 - 10 years",190000
"Educational Curriculum Coordinator","11 - 20 years",79000
"Youth Services Supervisor","8 - 10 years",70000
"Senior Data Scientist","21 - 30 years",207000
Aquarist,"5-7 years",35100
"Senior Product Owner","5-7 years",141500
Software,"21 - 30 years",123000
"Clinical Lab Assistant II","2 - 4 years",57000
"Inside quotations","11 - 20 years",47500
"Technology Manager","11 - 20 years",181000
"Senior Product Specialist","2 - 4 years",100000
"Print and Mail Clerk","8 - 10 years",48300
"Systems Engineer II","21 - 30 years",121000
"Leadership Development Consultant","8 - 10 years",95000
"User Experience Designer Apprentice","2 - 4 years",22220
"Qualifications Engineer","5-7 years",47100
"Sales Analyst","11 - 20 years",135000
"Advertising and Events Manager","11 - 20 years",78800
"Specialist, HR Systems and Projects","11 - 20 years",70000
"Software Quality Assurance Manager","8 - 10 years",116500
"Director of digital strategy","11 - 20 years",100000
"Optical Engineer II","1 year or less",187000
"Data and Quality Assurance Manager","2 - 4 years",47500
"Product development engineer","2 - 4 years",115000
"Communication Specialist","31 - 40 years",82600
"Senior Digital Consultant","5-7 years",50000
"Dir of Marketing","21 - 30 years",195000
"Quality Assurance Assistant","11 - 20 years",22000
"Quality Manager","5-7 years",272500
"Director of BDC & CRM","11 - 20 years",100000
"Corporate Paralegal","8 - 10 years",63000
"Principal Software Developer","21 - 30 years",230000
"PhD Fellow/Assistant Lecturer","8 - 10 years",35000
"Fast Food Restaurant General Manager","2 - 4 years",44000
"Commissions Analyst","2 - 4 years",82500
"Instructional Designer II","11 - 20 years",115000
"Resource advisor/officer","8 - 10 years",31000
"professional faculty","8 - 10 years",62000
"Planning Manager","8 - 10 years",104610
"Minister of music and worship","2 - 4 years",84000
"Senior VP, Internal Communications","21 - 30 years",310000
"Campaigns and policy coordinator","8 - 10 years",28500
RN,"5-7 years",135336
"Digital Preservation Officer","11 - 20 years",63000
"Group Therapist","2 - 4 years",41000
"Senior staff software engineer","21 - 30 years",1287000
"Junior Mechanical Aerospace Engineer","2 - 4 years",68700
"Quality Assurance Engineer/Scrum Master","8 - 10 years",59000
"Computer System Administrator","21 - 30 years",145000
"Optical development engineer","5-7 years",68500
"Student Support Specialist (Academic Advisor)","11 - 20 years",44700
"Youth Services Outreach Assistant","2 - 4 years",36192
"physics technologist","31 - 40 years",94000
"Staff Product Manager","11 - 20 years",447000
"Associate Marketing Director","5-7 years",60000
"Administrative Support Specialist","11 - 20 years",48000
"DevOps Architect","21 - 30 years",116203
"Digital Preservation Librarian","11 - 20 years",71100
"Senior Communication Specialist","11 - 20 years",75000
