City,Industry,Average_Salary
Erie,"Education (Higher Education)",43000
AtlantA,"Accounting, Banking & Finance",116176
Dover,"Government and Public Administration",71363
"Decline to answer","Media & Digital",110000
"Chapel Hill","Media & Digital",68900
"New York City","Art & Design",67730.76923076923
Brooklyn,"Government and Public Administration",114000
"Fort Wayne","Government and Public Administration",85500
"Calgary AB","Engineering or Manufacturing",71400
Boise,"Government and Public Administration",54272
"Charlotte, NC","Health care",200000
"Central Kentucky","Education (Higher Education)",41470
"Jersey City, NJ","Accounting, Banking & Finance",158000
Boston,"Media & Digital",81337.03703703704
DC,"Business or Consulting",100620
Rochester,"Computing or Tech",99845.45454545454
Providence,"Education (Primary/Secondary)",76800
Dallas,"Marketing, Advertising & PR",98342
Terrell,"Food Service",35400
Barcelona,"Education (Primary/Secondary)",34960
Lehi,"Computing or Tech",90030.11111111111
"Full time remote from my home near a major PA city","Media & Digital",90000
"St Paul, MN","Government and Public Administration",45143.5
Denver,"Transport or Logistics",111500
"Surrey BC","Government and Public Administration",69116.56
"Saint Louis",Nonprofits,63276.666666666664
Washington,"Education (Primary/Secondary)",85000
Greensboro,"Accounting, Banking & Finance",80000
"Remote (Chicago)",Pharma,168000
Northfield,"Accounting, Banking & Finance",35360
Hartford,Law,99500
Pocatello,"Education (Primary/Secondary)",38
"San Francisco","Government and Public Administration",114097.4705882353
Toronto,"Accounting, Banking & Finance",281502529.86206895
"Naval Base","Government and Public Administration",98765
Providence,Aerospace/Defence,68800
Columbia,"Computing or Tech",111810
Edmonton,"Government and Public Administration",111006.98857142858
Unknown,"Computing or Tech",118491.48571428572
Greenville,"Art & Design",27300
"Dallas/Fort Worth region","Government and Public Administration",89980
Winston-Salem,"Education (Primary/Secondary)",41000
Chester,"Health care",33210
"Fort Collins","Education (Higher Education)",71630
Plano,"Leisure, Sport & Tourism",40206
"New York City","Management Consulting",180000
"Merritt Island","Engineering or Manufacturing",118000
Cambridge,Pharmaceutical,113000
"Philadelphia suburbs",Pharmaceuticals,119000
Boston,Pharmaceutical,160000
Springfield,Law,70666.66666666667
"Suburb of Chicago","Government and Public Administration",83500
Gaithersburg,Nonprofits,49500
milwaukee,"Computing or Tech",99041.66666666667
"Washington, DC","Education (Higher Education)",63779.692307692305
"NY Metro","Academic publishing",73000
Medford,"Health care",111580
Houston,"Gas & Oil",75000
Atlanta,"Education (Higher Education)",76522
Toronto,"Leisure, Sport & Tourism",97240
Oakland,"Engineering or Manufacturing",101000
Norfolk,"Defence contracting",98500
"Silver Spring","Government and Public Administration",110488.57142857143
"Silver Spring","Education (Primary/Secondary)",75000
Rolla,"Education (Higher Education)",48562.5
"St. Paul","Education (Primary/Secondary)",59626.333333333336
Mississauga,"Education (Primary/Secondary)",57664
Unknown,"Government and Public Administration",71951.71428571429
Pittsburgh,"Education (Higher Education)",57168.10526315789
Denver,"Health care",101722.27272727272
"Prefer not to disclose","Computing or Tech",165000
Boise,"Education (Primary/Secondary)",53500
"Mountain View","Computing or Tech",156816.66666666666
Remote,Nonprofits,59695.72644444444
"San Jose","Accounting, Banking & Finance",104730
"Salt Lake City","Government and Public Administration",70980.6
Syracuse,Nonprofits,60659.818181818184
Charlotte,"Education (Higher Education)",66195.875
Southfield,Sales,212000
Westerly,Nonprofits,40000
Bethesda,"Media & Digital",61
Leeds,"Computing or Tech",40098
Washington,"International development (multilateral donor)",111360
Orange,"Government and Public Administration",116000
Lincoln,"Computing or Tech",87500
Gainesville,Nonprofits,47500
"New York City","Education (Primary/Secondary)",88544.18181818182
Tallahassee,Libraries,38000
Plano,"Computing or Tech",116200
Rochester,"Engineering or Manufacturing",92005.25
"San Antonio","Education (Higher Education)",79200
Greenville,"Engineering or Manufacturing",82500
"Sioux Falls","Health care",63427
Seattle,"project management",60000
Mississauga,"Education (Higher Education)",168640
"No city","Media & Digital",39330
Boulder,"Education (Higher Education)",66944.44444444444
Wichita,Nonprofits,50500
"San Jose, CA",Nonprofits,100000
"Suburban Chicago","Transport or Logistics",53000
Decherd,"Engineering or Manufacturing",82000
"New York","Apparel manufacture",66000
"san rafael","auto repair",56000
Minneapolis,"Recruitment or HR",70437.5
Phoenix,Nonprofits,46859.2
Franklin,Insurance,40000
"Los Angeles","Health care",136891.72
Indianapolis,"Business or Consulting",133466.66666666666
NYC,"Recruitment or HR",64000
Croydon,"Accounting, Banking & Finance",30996
Lexington,Insurance,49000
Sunnyvale,"Health care",128333.33333333333
"Greater Philadelphia area","Property or Construction",55000
Glasgow,"Health care",21624.876
Remote,"Agriculture or Forestry",130000
Boston,"Life Sciences",50000
"Philadelphia suburbs",Nonprofits,65000
Atlanta,"Computing or Tech",120550.58571428571
"Ottawa, Ontario",Law,74120
Madison,"Education (Higher Education)",62547.794117647056
Orange,"pharma / medical device design and manufacturing",188000
"Denver Metro Area","Computing or Tech",151000
Chester,"Chemical Manufacturing",47902
Detroit,Sales,101000
Reading,"Health care",12952.146
Seattle,Insurance,135651.42857142858
Chicago,"Editor in educational publishing",49000
Minneapolis,"Health care",92221.08108108108
"Plattsburgh, NY",Retail,29000
Tigard,Retail,27289
Medford,"Accounting, Banking & Finance",62500
Philadelphia,"Government and Public Administration",80510.71428571429
Center,Retail,32448
Beaufort,"Computing or Tech",93000
"Fort Collins","Education (Primary/Secondary)",60000
Manassas,"Education (Higher Education)",75000
"Ann Arbor","Art & Design",31200
"Baltimore suburbs","Accounting, Banking & Finance",56000
Dublin,"Government and Public Administration",38211.28
Louisville,"Computing or Tech",90562.5
Tampa,"Government and Public Administration",56253
Washington,"Computing or Tech",129657.45833333333
Allentown,"Health care",138000
Albuquerque,"Government and Public Administration",87088.75
Providence,Nonprofits,57918.75
"Prince George","Agriculture or Forestry",79292.08
Manchester,"Transport or Logistics",39060.5
Washington,"trade association/membership",65100
Greenbelt,"Engineering or Manufacturing",114466.66666666667
Minnespolis,"Business or Consulting",48000
"las vegas","Art & Design",63180
Princeton,"Education (Higher Education)",88500
"Grand Rapids",Insurance,58499
Wilmington,Nonprofits,50800
Baltimore,"Health care",96885.58333333333
Roanoke,"Education (Higher Education)",45000
Zurich,"Education (Higher Education)",74256
Poughkeepsie,"Accounting, Banking & Finance",64172
"Greater Chicago","Education (Higher Education)",50000
Minneapolis,"Government and Public Administration",91424.45454545454
Portland,"Education (Primary/Secondary)",58605.5
Brooklyn,"Computing or Tech",134413.07692307694
Tallahassee,"Food service",18720
Houston,"Transport or Logistics",77793.7
"Washington, District of Columbia","Government and Public Administration",87000
"Albany-Schenectady-Troy Metro Area","Education (Primary/Secondary)",64000
"Northwest Georgia","Education (Primary/Secondary)",67000
Austin,"Social Work",53666.666666666664
Jacksonville,"Computing or Tech",99440.6
Philadelphia,Work-Study,16000
Plymouth,"Education (Primary/Secondary)",44000
Pittsburgh,"Public Library",55000
Memphis,Science,65364
Evanston,"Learning & Development",68000
Montreal,Training,120632
Cincinnati,"Transport or Logistics",68000
"Northern B.C.","Engineering or Manufacturing",95200
Knoxville,"Education (Higher Education)",48321
"Prefer not to answer","Accounting, Banking & Finance",61333.333333333336
"District of Columbia","Education (Higher Education)",101116.66666666667
Northfield,Sales,70000
Amsterdam,FMCG,65550
Cary,"Computing or Tech",97142.85714285714
"New York City","Recruitment or HR",97967.55555555556
Gaithersburg,"Health care",74100
"Colorado Springs","Engineering or Manufacturing",85722.8
none,"Computing or Tech",155000
Chicago,"Property or Construction",95463.63636363637
Columbia,"Education (Primary/Secondary)",65578
Chicago,"Recruitment or HR",82773.07692307692
Syracuse,"Property or Construction",40125.5
"Vancouver, BC","Education (Higher Education)",87726.34666666666
Arlington,Law,167456
"Delray Beach","Art & Design",59000
Toronto,Manufacturing,97920
Memphis,"Marketing, Advertising & PR",73875
"La Vergne","Engineering or Manufacturing",62500
Lincoln,"Education (Higher Education)",47305
Witchita,Law,65000
Manchester,Law,30258
"semirural city",manufacturing,88400
Burlington,"Social Work",65666.66666666667
Boise,"Health care",108154
Pensacola,"Government and Public Administration",72500
"Kansas City","Museum - Nonprofit",65000
DC,"real estate",67000
Cincinnati,"Marketing, Advertising & PR",76256.25
Nashville,"wholesale distribution",62000
"Los Angeles","Computing or Tech",131946.26984126985
Medina,"Education (Higher Education)",35500
Herndon,"Health care",110000
Brookline,"Health care",48700
Hamilton,"Accounting, Banking & Finance",132500
"St. Louis","Research Administration",53000
"Washington, D.C.",Nonprofits,67812.5
Columbus,"Marketing, Advertising & PR",63604
Chicago,Law,164695.53191489363
Frisco,"Accounting, Banking & Finance",92500
Leicester,"Health care",25276.5
Ambler,"Property or Construction",72000
Tampa,"Real Estate",135000
Glasgow,"Education (Higher Education)",31870.106333333333
Durham,"Health care",81904.78571428571
London,Pharma,23616
Paris,"Education (Higher Education)",42826
Boston,"Property or Construction",89642.85714285714
Detroit,Nonprofits,68675
"East Moline",Libraries,78000
"Utah County","Accounting, Banking & Finance",120000
Titusville,"Government and Public Administration",98000
"Eastern MA (not Boston)","Scientific research",120000
Perth,"Education (Higher Education)",167860
Oakland,"Education (Higher Education)",91375
Bridgewater,"Education (Higher Education)",39000
Dallas,Manufacturing,68775
Conshohocken,"Marketing, Advertising & PR",118000
Kitchener,"Computing or Tech",154700
Rural,"Health care",168646
Torrington,"Engineering or Manufacturing",77000
"New Orleans","Marketing, Advertising & PR",42300
Glasgow,"Computing or Tech",47822.4
Columbia,"Accounting, Banking & Finance",72242
"West Palm Beaxh","Art & Design",77000
"Carson City",Nonprofits,75000
Salisbury,"Government and Public Administration",76000
"Crystal City","Computing or Tech",73700
"Manchester, UK",Nonprofits,30110.4
Manchester,"Accounting, Banking & Finance",34678.302500000005
"St. Louis Park","Computing or Tech",151374
NYC,"Business or Consulting",109250
"Santa Fe","Business or Consulting",55000
Boulder,Retail,73100
Arlington,Entertainment,54000
Burlington,"Medical Devices",91155
Marion,"Social Work",35000
Baltimore,"Marketing, Advertising & PR",84000
"Fully remote job (Denver area)","Computing or Tech",130000
Nashville,Law,88300.125
"San Francisco","Utilities & Telecommunications",119071.42857142857
"Prefer not to answer","Education (Primary/Secondary)",67550
Tulsa,Nonprofits,35596
Luton,"Engineering or Manufacturing",36162
Moline,"Art & Design",28000
Orange,"Engineering or Manufacturing",116000
Milwaukee,"Accounting, Banking & Finance",64100
"Los Angeles","Education (Higher Education)",75490.85
"Saint Louis","Education (Higher Education)",60500
Amherst,"Education (Higher Education)",45440
"Washington DC",Publishing,60000
"London, ON",Retail,51680
Arlington,"Computing or Tech",147451.64
Remote,"Recruitment or HR",107000
Boston,"Education (Primary/Secondary)",72968.85714285714
Vancouver,Insurance,135100
Albuquerque,"Computing or Tech",107150
Ottawa,Nonprofits,83806.39428571428
"Kansas City","Education (Higher Education)",114810
Cincinatti,"Engineering or Manufacturing",94350
"New York",Publishing,72250
Nottingham,"Education (Higher Education)",29483.1
Oxford,"Computing or Tech",41553.2376
Vancouver,"Education (Higher Education)",115530.79542857142
"New Haven","Computing or Tech",130600
Denver,"Engineering or Manufacturing",92695.1
Woodinville,"Utilities & Telecommunications",93000
Atlanta,Law,133956.52173913043
Göttingen,"Education (Higher Education)",48944
Boulder,"Accounting, Banking & Finance",54000
Pasadena,"Computing or Tech",125000
"Philadelphia suburbs","Education (Higher Education)",46500
"Calumet City","Accounting, Banking & Finance",80000
Montreal,"Accounting, Banking & Finance",108467.98999999999
Arlington,Nonprofits,92218.04347826086
Troy,"Accounting, Banking & Finance",60378.5
Hinckley,"Accounting, Banking & Finance",29605.608
Fortville,"Engineering or Manufacturing",102000
"Prince George","Marketing, Advertising & PR",88400
"Remote worker",Tech,160000
Peoria,"Engineering or Manufacturing",85000
Lyndon,Insurance,75000
Seattle,"Healthcare IT",135000
"Des Moines","Computing or Tech",108142.85714285714
Houston,"Art & Design",47000
Toronto,Research,109776.48
Vancouver,Nonprofits,89032.92307692308
Worcester,"Education (Higher Education)",62525.799999999996
Cleveland,"Engineering or Manufacturing",85110
"Drop down menur was not working. Indianapolis Indiana.",Law,70000
Madison,Nonprofits,51371.6
Minneapolis,"Engineering or Manufacturing",88614.78571428571
Houston,"Marketing, Advertising & PR",80803
Tulsa,"Health care",60826.666666666664
Swiftwater,Pharmaceuticals,60320
Melbourne,"Engineering or Manufacturing",147190
"Kuala Lumpur","Government and Public Administration",80640
"Saint Paul","Hospitality & Events",48925
