Industry,Gender,Highest_Level_of_Education_Completed,Average_Salary
"Food and Beverage",Woman,"Master's degree",100000
"Architecture & Construction",Woman,"Master's degree",75000
Software,Woman,"Some college",92700
"Consumer food products",Woman,"Master's degree",145000
"Veterinary care",Woman,"Some college",36000
Warehouse,Man,"College degree",60000
"Rural electrification",Woman,"College degree",60000
"Online learning",Woman,"College degree",43000
Psychologist,Man,PhD,60000
"International Development",Man,"College degree",55000
Biopharmaceuticals,Woman,"Master's degree",150000
Aviation,Woman,"College degree",38671.2
"Pharma/ Research",Woman,"Master's degree",185000
Environmental,Man,"Master's degree",70477
Environmental,Man,"College degree",80024
"Social Work",Unknown,"Master's degree",56000
"Environmental Consulting",Man,"Master's degree",132000
"Public health (not medical)",Non-binary,"College degree",65000
Environment,Man,"College degree",46000
"Environmental health and safety",Man,"College degree",46000
"Sailing Instructor",Woman,"High School",41600
"Engineering or Manufacturing",Man,"Unknown level of education",75333.33333333333
"Environmental Consultanting",Woman,"College degree",40200
"environmental compliance",Woman,"College degree",40000
"Politics/Government Relations",Woman,"College degree",108500
"Env. Consulting",Man,"College degree",60000
"Food Industry",Woman,PhD,85000
"Architecture, Engineering, Construction",Man,"Master's degree",150000
Landscaping,Woman,"College degree",48000
Zoo,Woman,"Master's degree",56000
"Environmental Consulting",Man,"College degree",38000
"Hybrid Nonprofit Higher Education (we are part of a university but our entire budget comes from grants)",Woman,"Master's degree",49500
Facilities,Woman,"Master's degree",65000
Translation,"Other or prefer not to answer","Master's degree",19927.2
"Landscape Architecture",Woman,"Master's degree",82000
Edtech,Woman,"College degree",54963
"Retail mid level management",Woman,"Some college",36000
"Environment and sustainability",Woman,"Master's degree",19926
"Political Research",Man,"College degree",40000
"Business or Consulting",Unknown,"Professional degree (MD, JD, etc.)",1300000
"association management",Woman,"Master's degree",68000
Literature,Woman,PhD,73440
Environment,Woman,"College degree",730000
"Hospitality & Events",Woman,PhD,115000
student,Man,"Some college",9360
"Pharma R&D",Woman,"Master's degree",165000
Military,Man,"College degree",55000
Animation,Woman,"College degree",107440
"Graduate Student",Man,"Master's degree",2350
"Law Enforcement & Security",Man,"Some college",35205
Communications,Man,"College degree",76500
"Obligatory Military service",Man,"College degree",2600.15
"I work at a property tax management company. Not sure where this fits in. Consulting maybe?",Woman,"College degree",37500
"digital commerce / ecommerce",Man,"College degree",100000
manufacturing,Man,"Some college",40476
Surveying,Man,"Some college",46280
"Supply Chain Operations",Woman,"College degree",93000
Maritime,Man,"Some college",67580
Soldier,Man,"College degree",122400
Manufacturing,Unknown,"College degree",60800
"Energy, Oil and Gas",Woman,"College degree",125000
Maintenance,Man,"College degree",87000
Cleaning,Woman,"High School",41600
Food,Woman,"College degree",44880
"Forklift operator warehouse",Man,"High School",40560
Software,Man,"Some college",78000
Biotechnology,Man,"College degree",66500
"Law Enforcement & Security",Non-binary,"Some college",26325
"Adult education",Woman,"College degree",31086.432
"Quality Assurance",Man,"College degree",38700
"Manufacturing/Consumer Packaged Goods",Woman,"College degree",100000
Mining,Man,"College degree",63802
"Pharmaceutical R&D",Man,"College degree",66000
Energy,Unknown,"Unknown level of education",70720
"Engineering or Manufacturing","Other or prefer not to answer",PhD,163000
"Biotech R&D",Woman,"College degree",130000
Automotive,Man,"College degree",80000
Consulting,Man,"Some college",250000
Food,Man,"Some college",37440
"It security",Man,"Some college",116000
Veterinary,Woman,"High School",31200
Restaurant,Man,"High School",29120
"Administration in MLM",Woman,"Some college",42000
"academic research",Man,PhD,80000
"Regulatory Affairs",Man,"College degree",75000
"Social Research",Woman,"Master's degree",31941.976000000002
"Specialist clothing",Woman,"College degree",53136
"Clinical Research Manager - academic institution",Woman,"College degree",82000
"Education (Primary/Secondary)",Unknown,"Unknown level of education",50692
"Product Management",Man,"Master's degree",115000
Restaurant,Man,"Some college",15080
"Internal Communications",Woman,"College degree",100800
"Education (Early Childhood Education)",Woman,"College degree",62400
"Political Campaigns",Woman,"College degree",66000
"Industry unknown",Unknown,"Unknown level of education",485.75
"Health and Safety",Man,"Master's degree",153000
"Aerospace Manufacturing",Man,"College degree",154500
"Waste Management",Woman,"Master's degree",140000
Insurance,Man,"Professional degree (MD, JD, etc.)",2000000
Distribution,Woman,"Some college",101000
Rideshare,Woman,"College degree",48000
CPG,Woman,"Some college",68000
Homemaker,Woman,"College degree",0
"Environmental science",Man,"College degree",107800
"User Experience Design","Other or prefer not to answer","College degree",140000
"Fast food","Other or prefer not to answer","High School",31200
"Oil & Gas",Man,"Master's degree",66022.5
"Property or Construction",Unknown,"Unknown level of education",55000
"Behavioural Health",Woman,"Master's degree",52416
"Hardware Manufacturing",Woman,"College degree",95000
"Real Estate / Housing",Man,"Master's degree",98762
"Research / Gov",Man,PhD,83000
Biology,Man,"Some college",29000
"Undergrad student",Man,"High School",10000
"Concrete Construction",Man,"Some college",28600
Plumbing,Man,"High School",537300
Plumbing,Man,"Unknown level of education",537300
"I'm currently a student and don't have a job",Man,"Some college",0
Student,"Other or prefer not to answer","College degree",0
"Industry unknown",Non-binary,"Professional degree (MD, JD, etc.)",10000000
"Wine & Spirits",Woman,"College degree",105000
"Social networks",Non-binary,PhD,2000000
"Health care",Non-binary,"High School",8000
